encoder,stream,corpus,query_class,neighbour_class,count,share_of_top5
remoteclip_b32,object,clean,basketball_court,tennis_court,29,0.00172
remoteclip_b32,object,clean,tennis_court,vehicle,18,0.00107
remoteclip_b32,object,clean,tennis_court,basketball_court,15,0.00089
remoteclip_b32,object,clean,vehicle,ship,13,0.00077
remoteclip_b32,object,clean,baseball_diamond,vehicle,6,0.00036
remoteclip_b32,object,clean,ship,harbor,6,0.00036
remoteclip_b32,object,clean,airplane,vehicle,3,0.00018
remoteclip_b32,object,clean,ship,vehicle,2,0.00012
remoteclip_b32,object,clean,tennis_court,airplane,2,0.00012
remoteclip_b32,object,clean,basketball_court,baseball_diamond,2,0.00012
remoteclip_b32,object,jitter,basketball_court,tennis_court,56,0.00332
remoteclip_b32,object,jitter,ship,vehicle,32,0.0019
remoteclip_b32,object,jitter,tennis_court,vehicle,25,0.00148
remoteclip_b32,object,jitter,vehicle,ship,17,0.00101
remoteclip_b32,object,jitter,storage_tank,vehicle,16,0.00095
remoteclip_b32,object,jitter,tennis_court,basketball_court,14,0.00083
remoteclip_b32,object,jitter,ship,harbor,14,0.00083
remoteclip_b32,object,jitter,baseball_diamond,vehicle,10,0.00059
remoteclip_b32,object,jitter,airplane,storage_tank,7,0.00042
remoteclip_b32,object,jitter,basketball_court,bridge,7,0.00042
remoteclip_b32,context,clean,basketball_court,tennis_court,111,0.00658
remoteclip_b32,context,clean,tennis_court,basketball_court,78,0.00462
remoteclip_b32,context,clean,basketball_court,baseball_diamond,43,0.00255
remoteclip_b32,context,clean,baseball_diamond,ground_track_field,40,0.00237
remoteclip_b32,context,clean,baseball_diamond,basketball_court,23,0.00136
remoteclip_b32,context,clean,ground_track_field,baseball_diamond,23,0.00136
remoteclip_b32,context,clean,ship,storage_tank,16,0.00095
remoteclip_b32,context,clean,tennis_court,baseball_diamond,15,0.00089
remoteclip_b32,context,clean,storage_tank,vehicle,7,0.00042
remoteclip_b32,context,clean,baseball_diamond,tennis_court,7,0.00042
remoteclip_b32,context,jitter,baseball_diamond,ground_track_field,135,0.008
remoteclip_b32,context,jitter,tennis_court,basketball_court,127,0.00753
remoteclip_b32,context,jitter,basketball_court,tennis_court,106,0.00629
remoteclip_b32,context,jitter,basketball_court,baseball_diamond,57,0.00338
remoteclip_b32,context,jitter,tennis_court,baseball_diamond,46,0.00273
remoteclip_b32,context,jitter,storage_tank,ship,40,0.00237
remoteclip_b32,context,jitter,ground_track_field,baseball_diamond,30,0.00178
remoteclip_b32,context,jitter,baseball_diamond,basketball_court,28,0.00166
remoteclip_b32,context,jitter,baseball_diamond,tennis_court,19,0.00113
remoteclip_b32,context,jitter,storage_tank,airplane,13,0.00077
remoteclip_l14,object,clean,basketball_court,tennis_court,11,0.00065
remoteclip_l14,object,clean,vehicle,ship,11,0.00065
remoteclip_l14,object,clean,ship,vehicle,7,0.00042
remoteclip_l14,object,clean,tennis_court,vehicle,7,0.00042
remoteclip_l14,object,clean,tennis_court,basketball_court,2,0.00012
remoteclip_l14,object,clean,bridge,harbor,2,0.00012
remoteclip_l14,object,clean,baseball_diamond,tennis_court,2,0.00012
remoteclip_l14,object,clean,tennis_court,ship,1,6e-05
remoteclip_l14,object,clean,ship,harbor,1,6e-05
remoteclip_l14,object,clean,ship,tennis_court,1,6e-05
remoteclip_l14,object,jitter,ship,vehicle,28,0.00166
remoteclip_l14,object,jitter,basketball_court,tennis_court,23,0.00136
remoteclip_l14,object,jitter,tennis_court,basketball_court,9,0.00053
remoteclip_l14,object,jitter,vehicle,storage_tank,9,0.00053
remoteclip_l14,object,jitter,tennis_court,vehicle,8,0.00047
remoteclip_l14,object,jitter,vehicle,ship,5,0.0003
remoteclip_l14,object,jitter,baseball_diamond,basketball_court,4,0.00024
remoteclip_l14,object,jitter,airplane,storage_tank,3,0.00018
remoteclip_l14,object,jitter,baseball_diamond,storage_tank,3,0.00018
remoteclip_l14,object,jitter,ship,harbor,3,0.00018
remoteclip_l14,context,clean,basketball_court,tennis_court,136,0.00806
remoteclip_l14,context,clean,tennis_court,basketball_court,103,0.00611
remoteclip_l14,context,clean,ground_track_field,baseball_diamond,50,0.00296
remoteclip_l14,context,clean,basketball_court,baseball_diamond,43,0.00255
remoteclip_l14,context,clean,baseball_diamond,basketball_court,34,0.00202
remoteclip_l14,context,clean,baseball_diamond,ground_track_field,32,0.0019
remoteclip_l14,context,clean,baseball_diamond,tennis_court,27,0.0016
remoteclip_l14,context,clean,ship,storage_tank,23,0.00136
remoteclip_l14,context,clean,tennis_court,baseball_diamond,13,0.00077
